id,product_text,retailer,category
125,mrch instlunch,kroger,boxed meals
126,sc krger sains,kroger,not an item
127,bbarllasspaghetti,kroger,grains & pasta
128,these potints expiire,kroger,not an item
129,sc senior 5k off,kroger,not an item
130,ddixiepaper plate,publix,household essentials
131,bblthboost,kroger,beverages
132,crystal spring wtr,publix,beverages
133,ogna,kroger,deli
134,tysn breasts ppc,kroger,frozen foods
135,frskies prm fchkn,publix,pets
136,iceebreakers mints,publix,candy & gum
137,rat,kroger,bakery
138,g0g0 sqz appcinna,publix,canned goods & soups
139,producttfor a,kroger,not an item
140,1 8 2 for 600,kroger,not an item
141,taco sng,kroger,"condiments, sauces & seasonings"
142,lysol wipes,publix,household essentials
143,bbo bbestdcust fuel msg,kroger,not an item
144,dixie,publix,household essentials
145,brhd hrd slm,kroger,deli
146,llimiitone 50 fuelpt bonus per,kroger,not an item
147,d bfrvli,kroger,"meat, seafood, & poultry"
148,gr saving,kroger,not an item
149,kro macchs,kroger,boxed meals
150,wheatttortillapc,kroger,bakery
151,eckr franks ppc,kroger,"meat, seafood, & poultry"
152,kr0 savins,kroger,not an item
153,wtt aplgalaa,kroger,produce
154,rkro tuna,kroger,canned goods & soups
155,s krger saings,kroger,not an item
156,gm sports chews,kroger,"snacks, cookies, & chips"
157,kro allumnm,kroger,household essentials
158,powerade savings,kroger,not an item
159,bok choy,kroger,produce
160,gilette fusion,kroger,beauty & grooming
161,yellowu,kroger,produce
162,ndry dtrg,kroger,household essentials
163,ppepsicola,kroger,beverages
164,tysn chcken tenderpc,kroger,frozen foods
165,york minis 8 0z,publix,candy & gum
166,rritz grab n g0,kroger,"snacks, cookies, & chips"
167,sfgreek whl plain,publix,dairy
168,cilantro ppc,kroger,"condiments, sauces & seasonings"
169,pomotin,publix,not an item
170,campbell beefgrvy,publix,canned goods & soups
171,sc 10a senior disc,kroger,not an item
172,kro aco shells,kroger,boxed meals
173,1 e 2 for 600,kroger,not an item
174,casshh,kroger,not an item
175,org dried cranberr,publix,produce
176,rreeses pntbtr chp,publix,candy & gum
177,cigar city 6pk cns,publix,beer
178,dorito c00l ranch,publix,"snacks, cookies, & chips"
179,itkat,kroger,candy & gum
180,eggo brkfst,kroger,frozen foods
181,lnfcgrk tsd cocont,publix,dairy
182,llibby wk swtccorn,publix,canned goods & soups
183,ymastercard,kroger,not an item
184,bbanq ssg links,publix,"meat, seafood, & poultry"
185,hms paper twl,kroger,household essentials
186,kr shpcchedchnk,publix,dairy
187,llfwy kefir,kroger,dairy
188,cauliflower whit,kroger,produce
189,peachhharvestsld,publix,produce
190,pub wipes refill,kroger,baby & kids
191,prog soup ppc,kroger,canned goods & soups
192,mm almond lrg bag,publix,candy & gum
193,farm rich skins,kroger,frozen foods
194,alancee,kroger,"snacks, cookies, & chips"
195,emplloyee disc,kroger,not an item
196,kro apriva packetspc,kroger,"condiments, sauces & seasonings"
197,prslbbacon,kroger,"meat, seafood, & poultry"
198,t tot,kroger,frozen foods
199,bnlscchick breast,publix,"meat, seafood, & poultry"
200,fx kro hyd peroxide,publix,health & wellness
201,sto sliced peaches,kroger,canned goods & soups
202,orn yellow ppc,kroger,produce
203,gilettte shv gel,kroger,beauty & grooming
204,candry gngr ale,kroger,beverages
205,notebook ppc,publix,household essentials
206,amys enchilada,publix,frozen foods
207,limiit one 50 fuel ptbonus per 7,kroger,not an item
208,ortg taco ssng ppc,kroger,"condiments, sauces & seasonings"
209,s waffles,kroger,frozen foods
210,erlyclolives,kroger,"condiments, sauces & seasonings"
211,sagings,kroger,not an item
212,kro facial cleansr,kroger,beauty & grooming
213,ld nutty bar,kroger,"snacks, cookies, & chips"
214,klond bar mint chc,publix,"snacks, cookies, & chips"
215,fx clear care sltn,kroger,health & wellness
216,00ni0ns sweett,publix,produce
217,mw strwbry mufmix,publix,baking
218,kro crsh pineappl,kroger,canned goods & soups
219,joan of arc bean,kroger,canned goods & soups
220,st grant eggs,kroger,dairy
221,jumbo choc cupcake,publix,bakery
222,mezzetta olives,publix,"condiments, sauces & seasonings"
223,amys lasagna,kroger,frozen foods
224,n kraft,kroger,dairy
225,arizonagreen tea,publix,beverages
226,discountsand,kroger,not an item
227,camp skillet sce,kroger,"condiments, sauces & seasonings"
228,ppublix hvy whpccrm,kroger,dairy
229,ddoveebar soap,kroger,beauty & grooming
230,zatblk bnsrice,publix,grains & pasta
231,id ice coffee mochh,publix,beverages
232,psecretkernel cn,publix,"snacks, cookies, & chips"
233,casc vegetables,kroger,frozen foods
234,brownie mix,kroger,baking
235,publix mbs oatmeal,publix,breakfast & cereal
236,sto seaweed snk,kroger,"snacks, cookies, & chips"
237,annies ravioli,kroger,grains & pasta
238,sto bfcgrd,kroger,"meat, seafood, & poultry"
239,bboca patty,publix,frozen foods
240,hh spooked plasticpc,kroger,boxed meals
241,loger low great prices,kroger,not an item
242,roger eavings,kroger,not an item
243,bforst frt sncks,kroger,"snacks, cookies, & chips"
244,be mashd potatoes,kroger,boxed meals
245,organicblueberry,publix,produce
246,udding,kroger,"snacks, cookies, & chips"
247,airwk piso freshw,publix,household essentials
248,broccoli florets,kroger,produce
249,dom confctsug 10x,publix,baking
250,pprsl colby,kroger,dairy
251,top ramen,publix,canned goods & soups
252,cfprotein pbcchoc,publix,"snacks, cookies, & chips"
253,welchgrapeejelly,publix,"condiments, sauces & seasonings"
254,tbbaby pouchh,kroger,baby & kids
255,labr grlc lf,kroger,"condiments, sauces & seasonings"
256,2 for 593,publix,not an item
257,kro strng cheeseeppc,kroger,dairy
258,r0 sand bun,kroger,bakery
259,wt apl junami,kroger,produce
260,kret mayo,kroger,"condiments, sauces & seasonings"
261,pprsl hny ham,kroger,deli
262,tx toast,kroger,frozen foods
263,kro wtr enhn ppc,kroger,beverages
264,pub grtnorthbean,publix,canned goods & soups
265,ionic water,kroger,beverages
266,kkro pie crst,kroger,bakery
267,aqfrsh toothpaste,kroger,health & wellness
268,ruffies clr scnt,publix,household essentials
269,jmbo blbrry mffns,publix,bakery
270,sto portabellasslc,kroger,produce
271,altoid cinnamon,publix,candy & gum
272,sun pac clem ppc,kroger,produce
273,biscuits ppc,kroger,bakery
274,gg bnls chk brst,publix,"meat, seafood, & poultry"
275,fbar,kroger,"snacks, cookies, & chips"
276,kkro cotton rounds,kroger,beauty & grooming
277,frz sprribs,kroger,frozen foods
278,kkrgr saings,kroger,not an item
279,bblue diamnd almond,publix,produce
280,1 g 2 for 700,kroger,not an item
281,bkry danish,kroger,bakery
282,ltdb apple pies,kroger,"snacks, cookies, & chips"
283,crna snk pck,kroger,"snacks, cookies, & chips"
284,fz chkn,kroger,frozen foods
285,zzaa,kroger,frozen foods
286,shba cat f00d ppc,kroger,pets
287,wt green cabbage,kroger,produce
288,s dog f00d,kroger,pets
289,otal number 0f,kroger,not an item
290,ger ffmilk,kroger,dairy
291,synergy guava,publix,beverages
292,srta long grn ricepc,kroger,grains & pasta
293,publix grk raspbry,kroger,dairy
294,ozrk water ppc,kroger,beverages
295,zatarain rd bnrce,kroger,grains & pasta
296,plmv dish liquid kt,kroger,household essentials
297,sara lee poundcake,kroger,bakery
298,kro fajiita ssng,kroger,"condiments, sauces & seasonings"
299,wt 40111 bbananas,kroger,produce
300,ffruitsalad small,kroger,deli
301,wt red sdls grapes,kroger,produce
302,baacce,kroger,not an item
303,chkn popr kabobble,kroger,frozen foods
304,via,kroger,beverages
305,sstcorn,kroger,frozen foods
306,knorr butterherb,kroger,grains & pasta
307,alte cheddar,kroger,dairy
308,bbanderitabburrito,publix,bakery
309,sweethearts box,publix,candy & gum
310,prsl bf grd ch ang,kroger,"meat, seafood, & poultry"
311,ggds ygrt,kroger,dairy
312,atmeal,kroger,breakfast & cereal
313,smfld ntl roll ssg,kroger,"meat, seafood, & poultry"
314,ncy feastdcatfood,kroger,pets
315,pc plbry cresce,kroger,bakery
316,1 22f0r 400,publix,not an item
317,whl cello,kroger,"snacks, cookies, & chips"
318,niss top ramen,kroger,canned goods & soups
319,shark bites snacks,kroger,"snacks, cookies, & chips"
320,hlthch fzml,safeway,frozen foods
321,dc sargento snack bi,publix,dairy
322,kro green bn ppc,kroger,produce
323,bbe mashed potatoespc,kroger,boxed meals
324,bc stffd burgers,publix,frozen foods
325,toes otv,kroger,produce
326,jnuary,kroger,not an item
327,papaya maradol,kroger,produce
328,kn four chez spirl,kroger,grains & pasta
329,kro almd extrct,kroger,baking
330,htgfchkbrstt,kroger,"meat, seafood, & poultry"
331,and issuer,kroger,not an item
332,prsl mpl tky gng,kroger,"meat, seafood, & poultry"
333,carambola star frt,publix,produce
334,ks tapioca,publix,"snacks, cookies, & chips"
335,kro bacbits,publix,produce
336,pplbry tstr strudel,kroger,frozen foods
337,mfrts frt,kroger,"snacks, cookies, & chips"
338,chungs spring roll,publix,frozen foods
339,eco foil bkware,kroger,household essentials
340,chuck ribs,publix,"meat, seafood, & poultry"
341,pbx chix tndrl2sb,publix,frozen foods
342,prhae,kroger,dairy
343,fgor peppers,kroger,produce
344,yopcgreek peachh,publix,dairy
345,sftsoaphandsoap,kroger,beauty & grooming
346,hrml turkey ppc,kroger,deli
347,ixie plates,kroger,household essentials
348,hot salsa,publix,"snacks, cookies, & chips"
349,perrier water ppc,kroger,beverages
350,gravy mix,kroger,"condiments, sauces & seasonings"
351,m mlk,kroger,dairy
352,pub whtvinegar,kroger,"condiments, sauces & seasonings"
353,bbread 16 0z,kroger,bakery
354,chuckroast ppc,kroger,"meat, seafood, & poultry"
355,cbadmini ravioli,kroger,canned goods & soups
356,applsce,kroger,canned goods & soups
357,c0m0 snack,kroger,"snacks, cookies, & chips"
358,rrdbr pizza ppc,publix,frozen foods
359,icy juice,kroger,beverages
360,lib chkn vienna,publix,canned goods & soups
361,salsa avocado verd,kroger,"snacks, cookies, & chips"
362,obani yogurtt,kroger,dairy
363,sc 5 off 75 order,kroger,not an item
364,organic dill,publix,produce
365,1b 2 for 500,kroger,not an item
366,chrmn frshmates,kroger,household essentials
367,wt mshrm white,kroger,produce
368,k0 yourt,kroger,dairy
369,e shred lettuce,kroger,produce
370,vigo ricemx,kroger,grains & pasta
371,n wieners,kroger,"meat, seafood, & poultry"
372,bbaby kaleeblend,kroger,baby & kids
373,limit one 50 fueelptbonus per 7,kroger,not an item
374,wris water,kroger,beverages
375,e body washh,kroger,beauty & grooming
376,liimiit one 50 fuelpttbonus per 7,kroger,not an item
377,contacttyour,kroger,not an item
378,kro sandbun ppc,kroger,bakery
379,lysol mold  mildw,publix,household essentials
380,chbn yogurt ppc,kroger,dairy
381,hsfds rotcchickn,publix,"meat, seafood, & poultry"
382,bburrito size tort,kroger,bakery
383,kkttl chips ppc,kroger,"snacks, cookies, & chips"
384,tryki chckn,kroger,frozen foods
385,cattfood,kroger,pets
386,dnto pizza,kroger,frozen foods
387,hsfutlwr sdm tk,publix,deli
388,wt bbnnas,kroger,produce
389,retrieval transaction number,kroger,not an item
390,prsl wht brd,kroger,bakery
391,pc lays chips,kroger,"snacks, cookies, & chips"
392,htgf chk tnd ppc,kroger,frozen foods
393,publix fs grbean,kroger,canned goods & soups
394,rgly extra gum,kroger,candy & gum
395,nnbsc triscuit ppc,kroger,"snacks, cookies, & chips"
396,kro fz toast ppc,publix,frozen foods
397,sc senior disc,kroger,not an item
398,rreeses pb pmpkns,kroger,candy & gum
399,sb delicate spong,publix,household essentials
400,texas pete hot scepc,kroger,"condiments, sauces & seasonings"
401,cbad mini bf rvli,publix,canned goods & soups
402,hot soup 12 0z,publix,canned goods & soups
403,dmnd baking nuts,kroger,produce
404,prsl rstbf,publix,deli
405,wtrmln sdls ppc,kroger,produce
406,liimiitone 50 fuelpttbonus per,kroger,not an item
407,psstdgrn bns,kroger,canned goods & soups
408,pub dcd peaches ls,publix,canned goods & soups
409,spstk deodorant,kroger,beauty & grooming
410,hormel bacon piece,publix,"meat, seafood, & poultry"
411,ped chpd chicken,kroger,pets
412,nggl fab sftnr,kroger,household essentials
413,catcchow indoor,publix,pets
414,px carm rice snack,publix,"snacks, cookies, & chips"
415,jello lemon puddin,publix,"snacks, cookies, & chips"
416,for 429,publix,not an item
417,ajlite syrup,publix,"condiments, sauces & seasonings"
418,wt apl reddel,kroger,produce
419,plbry pizza crustt,kroger,frozen foods
420,hunts van snak pak,kroger,"snacks, cookies, & chips"
421,ppsstccracker,kroger,"snacks, cookies, & chips"
422,verifiedby pin,publix,not an item
423,liquid plummer,publix,household essentials
424,finish jet dry,publix,household essentials
425,green onions,kroger,produce
426,krozwater,kroger,beverages
427,t svings,kroger,not an item
428,kblr clubcrackers,publix,"snacks, cookies, & chips"
429,s0l0 plate,kroger,household essentials
430,ffymuffinmix,kroger,baking
431,kkell appleejacks,kroger,breakfast & cereal
432,kro ditalini pastapc,kroger,grains & pasta
433,salami,publix,deli
434,kro trlmix,kroger,"snacks, cookies, & chips"
435,0 fruit bowl,kroger,canned goods & soups
436,nab wheatttriscuitt,publix,"snacks, cookies, & chips"
437,effective auut,kroger,not an item
438,tito scoops,kroger,"snacks, cookies, & chips"
439,kkro yourt,kroger,dairy
440,frenchhtoastccerel,publix,breakfast & cereal
441,sknr twirls,kroger,grains & pasta
442,cmorgan pork,publix,"meat, seafood, & poultry"
443,prsl hckry smk hampc,kroger,deli
444,skinny girl bar,kroger,"snacks, cookies, & chips"
445,prsl provln,kroger,dairy
446,stalmondmilk,kroger,dairy
447,kkro turkey,kroger,deli
448,per gallatshell,kroger,not an item
449,rd summer fel2x pts,kroger,not an item
450,kkro foamcup,kroger,household essentials
451,l rev wrap,kroger,"snacks, cookies, & chips"
452,wt bbananas a,kroger,produce
453,viva italian drsng,publix,"condiments, sauces & seasonings"
454,city nftax,kroger,not an item
455,centrum,publix,health & wellness
456,prkay spread,kroger,dairy
457,kng pop popcorn,kroger,"snacks, cookies, & chips"
458,earn550 bonus,kroger,not an item
459,with our lw,kroger,not an item
460,mld turkey sausage,kroger,"meat, seafood, & poultry"
461,debiitpurcchase,kroger,not an item
462,rcrm,kroger,dairy
463,campccars wmb,publix,canned goods & soups
464,aftmmac,kroger,grains & pasta
465,ros,kroger,wine
466,pwrae,kroger,bakery
467,bbryn smokies,kroger,"meat, seafood, & poultry"
468,mms fc bacon,publix,"meat, seafood, & poultry"
469,vidal,kroger,beauty & grooming
470,pbx ched jack sprd,publix,dairy
471,ltdb nutty bar ppc,kroger,"snacks, cookies, & chips"
472,choc shake,kroger,beverages
473,cesar snrseebcneg,publix,pets
474,neutr twltts,publix,beauty & grooming
475,bblk frst hm slcd,kroger,deli
476,ham gng,kroger,deli
477,ffg lvr beef,publix,"meat, seafood, & poultry"
478,rrynlds baking cups,publix,baking
479,r pasta sde,kroger,grains & pasta
480,coles mini loaf,kroger,frozen foods
481,qker life cereal kt,kroger,breakfast & cereal
482,kro eng mffn ppc,kroger,bakery
483,kkro bread c,kroger,bakery
484,t tuna ppc,kroger,canned goods & soups
485,mea event,kroger,not an item
486,tyson bnls tloin,kroger,frozen foods
487,glow rings,kroger,toys & games
488,kro cheese 199,kroger,dairy
489,save uf t0,kroger,not an item
490,fselbbaby spinachh,kroger,produce
491,ltdb creme pies,kroger,"snacks, cookies, & chips"
492,annies yogurt4pk,kroger,dairy
493,kell splk cereal kt,kroger,breakfast & cereal
494,body puff,publix,beauty & grooming
495,ins otml,kroger,breakfast & cereal
496,pagoda wonton,kroger,frozen foods
497,2 for 109,publix,not an item
498,gh bnls chk brst,publix,"meat, seafood, & poultry"
499,hlsr hny ham ppc,kroger,deli
500,ore ida boldcrspy,publix,frozen foods
501,r ch brst,kroger,"meat, seafood, & poultry"
502,wtt bbananas 0,kroger,produce
503,sc kkrger svins,kroger,not an item
504,s peanut,kroger,produce
505,red seedless grape,publix,produce
506,one lmbb rc dg fd,publix,pets
507,radishesbunchh,publix,produce
508,bumbleebee 4pk,publix,canned goods & soups
509,sunflowr sd,kroger,produce
510,pbx deli ban pud,publix,"snacks, cookies, & chips"
511,ueberries ppc,kroger,produce
512,lachy sauce,kroger,"condiments, sauces & seasonings"
513,px trky gr mix,publix,"condiments, sauces & seasonings"
514,collumbus,kroger,deli
515,i yogurtt,kroger,dairy
516,0m shvd msqtttrky,publix,deli
517,psstcinnamn,publix,baking
518,cbad mac  cheese,kroger,canned goods & soups
519,fsel itallian stylepc,kroger,produce
520,cherry coffcck,publix,beverages
521,chili pwdr,kroger,"condiments, sauces & seasonings"
522,welch sprk water ppc,kroger,beverages
523,cmmnb sweetccreme,publix,dairy
524,giftcert,kroger,gift cards
525,bbh hard salami,publix,deli
526,mfts baby f00d,kroger,baby & kids
527,c0 dog treat,kroger,pets
528,pub canned chicken,kroger,canned goods & soups
529,kro bagel ppc,kroger,bakery
530,kraftvelveetacchz,publix,grains & pasta
531,hnttbaby,kroger,baby & kids
532,cabothtrsh chd ba,publix,dairy
533,kro driink mx,kroger,beverages
534,nsqk syrup,kroger,"condiments, sauces & seasonings"
535,pbx trky 12 sub,publix,deli
536,beffective ausust23,kroger,not an item
537,spvings,kroger,not an item
538,produce nscn,kroger,produce
539,k wk,kroger,dairy
540,suave kid bodywash,kroger,beauty & grooming
541,n applwd bacon,kroger,"meat, seafood, & poultry"
542,kkro shred cheeseppc,kroger,dairy
543,id hazelnutt,publix,dairy
544,bblackberriies,publix,produce
545,gglazed popems,publix,"snacks, cookies, & chips"
546,just4men color,kroger,beauty & grooming
547,pbx split brst,publix,"meat, seafood, & poultry"
548,kro viittd whl milkpc,kroger,dairy
549,prsl artchke,kroger,frozen foods
550,clfmntnes,kroger,produce
551,pub flossers,publix,health & wellness
552,ge led bulb,kroger,household essentials
553,tw valid forms,kroger,not an item
554,pub 160z thrsty cp,publix,frozen foods
555,black pepper,kroger,"condiments, sauces & seasonings"
556,ddianas bananas,publix,produce
557,epper bell hh redpc,kroger,produce
558,sandwch bagpc,kroger,household essentials
559,e plates,kroger,household essentials
560,bbais beverage ppc,kroger,beverages
561,bbhblaz bufchkn,publix,deli
562,bbhmaple chkn brst,publix,deli
563,grape tomato ppc,kroger,produce
564,psst honey,kroger,"condiments, sauces & seasonings"
565,gr svns,kroger,not an item
566,kkro tortcchips,kroger,"snacks, cookies, & chips"
567,bbobevnmashed,kroger,boxed meals
568,w rootbeer ppc,kroger,beverages
569,wiith ur low,kroger,not an item
570,pparsley,kroger,produce
571,kro brkf muffin,kroger,baking
572,buitoni pesto,kroger,grains & pasta
573,fselbby springmx,kroger,produce
574,limitfone,kroger,not an item
575,kit  kaboodle,kroger,pets
576,alsauce,kroger,"condiments, sauces & seasonings"
577,wt apl,kroger,produce
578,nutemaid,kroger,beverages
579,kro parmesan chees,kroger,dairy
580,t tpaste,kroger,health & wellness
581,latrtll ylw crn t0,publix,produce
582,broc slaw eatsmt,publix,deli
583,nt asparagus,kroger,produce
584,muir gln cr tmbsl,publix,frozen foods
585,la esp olives,kroger,"condiments, sauces & seasonings"
586,meowmmix cat f00d,kroger,pets
587,kkro butter c,kroger,dairy
588,y00 h00 10pk,kroger,dairy
589,soda 2l 88,kroger,beverages
590,magn swtccond milk,publix,canned goods & soups
591,nack tray,kroger,"snacks, cookies, & chips"
592,dwafpancakes,kroger,frozen foods
593,kkromayo,kroger,"condiments, sauces & seasonings"
594,kro pollock,kroger,frozen foods
595,maggi sauce,kroger,"condiments, sauces & seasonings"
596,gain fireworks,publix,household essentials
597,reynold trky bags,publix,household essentials
598,gginger r00t,kroger,produce
599,ppring cheddr chees,publix,"snacks, cookies, & chips"
600,duracell c,kroger,household essentials
601,kkrnl ssn ssng,kroger,"condiments, sauces & seasonings"
602,apple turnover 2ct,publix,bakery
603,stuffed peppers,publix,produce
604,liberte pomegranat,publix,dairy
605,cont tomsauc,kroger,"condiments, sauces & seasonings"
606,2 for 99,kroger,not an item
607,heluva g00d f0ni0,kroger,"snacks, cookies, & chips"
608,aviags,kroger,not an item
609,kro bread crmbs,kroger,bakery
610,sc kroger savin s,kroger,not an item
611,wt apl pnk lady,kroger,produce
612,red robin stk frie,kroger,frozen foods
613,croissants 15 ct,safeway,bakery
614,bbhhtavern ham,kroger,deli
615,1 4,kroger,not an item
616,ped chnky bfbchs,kroger,pets
617,michmancoti,kroger,frozen foods
618,gurt ppc,kroger,dairy
619,pbx ham  am gng,publix,deli
620,kro ttaco ssng,kroger,"condiments, sauces & seasonings"
621,arabar,kroger,"snacks, cookies, & chips"
622,save upp t0,kroger,not an item
623,kkro vitdd whlmilk,kroger,dairy
624,kro eggs ppc,kroger,dairy
625,kell frstdmmini,kroger,breakfast & cereal
626,promo,kroger,not an item
627,chinetbvrage napk,publix,household essentials
628,mbbologna,kroger,deli
629,aghettios,kroger,canned goods & soups
630,bear creek soup,kroger,canned goods & soups
631,kr 2 sh chd chunk,publix,dairy
632,ddoriitos,kroger,"snacks, cookies, & chips"
633,jifppeanutdbutter,kroger,"condiments, sauces & seasonings"
634,pr juicy juice,kroger,beverages
635,viita c0c0 wtr,publix,beverages
636,benefuldog f00d,kroger,pets
637,cat food,kroger,pets
638,pbx ps 0r tky brs,kroger,deli
639,natr blckbry ppc,kroger,produce
640,smple truth drssng,kroger,"condiments, sauces & seasonings"
641,t saving8,kroger,not an item
642,per glatshell,kroger,not an item
643,fla natural,kroger,beverages
644,cmfrts baby bath,kroger,baby & kids
645,hndfl loaf pan,kroger,household essentials
646,wt delmbbananas,kroger,produce
647,mer fuel,kroger,not an item
648,ddietmountain de,publix,beverages
649,argo bakepowdr,publix,baking
650,mccormick colors,publix,"condiments, sauces & seasonings"
651,hsfds pastrami,publix,deli
652,hrml bcn bit,kroger,produce
653,lousiana hot saucepc,kroger,"condiments, sauces & seasonings"
654,playball,kroger,toys & games
655,armoolunchmk,kroger,"snacks, cookies, & chips"
656,koerswns,kroger,not an item
657,prsl entrtnr crkrs,kroger,"snacks, cookies, & chips"
658,ggarlic minced 8 0z,publix,canned goods & soups
659,kro butfer,kroger,dairy
660,kkro drinkmx,kroger,beverages
661,tomato basil lentl,publix,canned goods & soups
662,sto aplsce,kroger,canned goods & soups
663,n ssg roll,kroger,"meat, seafood, & poultry"
664,lawrys season salt,publix,"condiments, sauces & seasonings"
665,sgdl rf milk pc 2,kroger,dairy
666,hrmltky pep,kroger,deli
667,sc soda,kroger,beverages
668,card savinngs,publix,not an item
669,pfarm turnover,publix,bakery
670,zgs tiramisu,kroger,frozen foods
671,177 frito lay,kroger,"snacks, cookies, & chips"
672,kkro wtrchsn,kroger,"condiments, sauces & seasonings"
673,chspc,kroger,dairy
674,hotpocketdbec,publix,frozen foods
675,lipton,kroger,beverages
676,kkro granola bar ppc,kroger,"snacks, cookies, & chips"
677,pbx amer shpdsngls,publix,dairy
678,ppub 10 pplate,publix,household essentials
679,tenn pride,kroger,"meat, seafood, & poultry"
